GENESIS-Tabelle: 14344-01-03-4
Landtagswahlen: Sachsen - Wahlberechtigte und;;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Kreise und krfr. Städte;;;;;;;;;;;;
Landtagswahlen: Sachsen;;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;AfD;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
19.09.1999;14177;    Freiberg, Landkreis;123259;64,4;78211;46405;7537;1653;1100;15978;-;5538
19.09.1999;14178;    Vogtlandkreis;168696;58,7;97746;57616;11827;1337;1003;19132;-;6831
19.09.1999;14181;    Mittlerer Erzgebirgskreis;76907;64,8;48671;30440;4538;819;622;9127;-;3125
19.09.1999;14182;    Mittweida, Landkreis;113222;64,0;71232;41802;8226;1061;833;14253;-;5057
19.09.1999;14188;    Stollberg, Landkreis;77311;63,4;48324;28584;5609;671;344;9950;-;3166
19.09.1999;14191;    Aue-Schwarzenberg, Landkreis;116820;61,7;70835;42101;7037;925;631;14942;-;5199
19.09.1999;14193;    Zwickauer Land, Landkreis;111667;60,6;66697;40433;7149;1020;738;13489;-;3868
19.09.1999;142;  Dresden, Regierungsbezirk;1382117;63,4;864240;507123;73009;25843;9128;190465;-;58672
19.09.1999;14262;    Dresden, kreisfreie Stadt;382273;65,2;246129;136943;20575;13276;2212;59558;-;13565
19.09.1999;14263;    Görlitz, kreisfreie Stadt;50690;55,2;27541;15414;2696;662;286;6208;-;2275
19.09.1999;14264;    Hoyerswerda, kreisfreie Stadt;42792;53,0;22395;9912;2776;342;234;7712;-;1419
19.09.1999;14272;    Bautzen, Landkreis;127331;64,5;80766;50100;6321;1429;1081;15909;-;5926
19.09.1999;14280;    Meißen, Landkreis;123545;63,6;77629;47725;6473;2394;973;15123;-;4941
19.09.1999;14284;    Niederschlesischer Oberlausitzkreis;84853;60,2;50365;27811;5140;799;525;12073;-;4017
19.09.1999;14285;    Riesa-Großenhain, Landkreis;98935;61,0;59366;34424;5643;1042;526;13421;-;4310
19.09.1999;14286;    Löbau-Zittau, Landkreis;127022;62,0;77486;46609;6088;1385;848;15759;-;6797
19.09.1999;14287;    Sächsische Schweiz, Landkreis;120892;64,7;76962;47834;5377;1576;704;15791;-;5680
19.09.1999;14290;    Weißeritzkreis;99691;66,7;65620;42738;4497;1396;595;11887;-;4507
19.09.1999;14292;    Kamenz, Landkreis;124093;65,4;79981;47613;7423;1542;1144;17024;-;5235
19.09.1999;143;  Leipzig, Regierungsbezirk;869542;56,9;487340;259704;66521;14867;5535;114040;-;26673
